name,location,founded_date,category,description,main_url,twitter_url,angellist_url,crunchbase_url,business_model,target_client,all_tags
Caseflow,"Austin, TX, USA",2012,Practice Management,"Caseflow restructures the way legal businesses work. Focusing on personal injury lawyers in the first step, we are developing a US-wide solution to manage law firms more efficiently and reduce overhead. In addition to redesigning the way law firms work internally, it also improves and manages customer relations.",caseflow.co,,,,,,
CaseHub,"London, UK",2015,Marketplace,"This is what CaseHub does: we crowdsource legal battles, and take a payout of the winnings or settlement. Each case is financed by law firms or external investors who take a pc of the winnings",casehub.co,,,,,,
Caselinq,"Chicago, IL, USA",1900,Practice Management - Litigation,,www.caselinq.com,,,,,,
CaseRails,"New York, NY, USA",2013,Document Automation,Perfect Legal Documents. Faster.,http://www.caserails.com,https://twitter.com/CaseRails,https://angel.co/caserails,http://www.crunchbase.com/organization/caserails,Legal Tech,Service Providers,documents
Casetext,"Sunnyvale, CA, USA",2013,Legal Research - Crowdsourcing,Legal research on the shoulders of giants.,http://www.casetext.com,https://twitter.com/casetext,https://angel.co/casetext,http://www.crunchbase.com/organization/casetext,Legal Service Using Tech,Service Providers,"research, crowd-sourcing"
CellBreaker,"Durham, NC, USA",2014,No Category Assigned,,cellbreaker.com,,,,,,
Chapter 11 Dockets,Unknown,1900,Document Automation,,,,,,,,
Checkr,"Sunnyvale, CA, USA",2014,Document Automation,Automated background screenings and driving records,https://checkr.io/,https://twitter.com/checkr_io,https://angel.co/checkr,http://www.crunchbase.com/organization/checkr,Legal Service Using Tech,Individuals,background checks
cicayada,"Nashville, TN, USA",2012,Practice Management - Discovery,eDiscovery technology & services for intelligent litigationÌø_,http://www.cicayda.com/,https://twitter.com/cicayda,n/a,http://www.crunchbase.com/organization/cicayda,Legal Tech,Service Providers,discovery
Cited,"Los Angeles, CA, USA",2014,No Category Assigned,"Cited alleviates the headache of contesting your ticket, all without lifting a finger (well, maybe one).",citedapp.com,,,,,,
Claim Kit,"Overland Park, KS",1900,Document Automation,,www.claimkit.com,,,http://www.crunchbase.com/organization/allegory-law,,,
Clault,Singapore,2014,No Category Assigned,Clault provides ‰ÛÏJoyfully Simple File Security‰Û through our privacy apps ‰ÛÒ Cloak and Kryptos.,clault.com,,,,,,
Clausehound,"Toronto, ON, Canada",2015,Document Automation,Contract drafting and clause library,http://clausehound.com/,,,,Legal Tech,Companies,"LIZ, Content Management, Document Drafting, Leases, NDAs"
ClauseMatch,"London, UK",2014,Document Automation,"ClauseMatch is a SaaS platform for negotiating smarter contracts and collaborating on documents, solving long time problems of lengthy and expensive process of management of documentation and inability to unlock the information contained within contracts and documents.",http://www.clausematch.com/,,,,,,
ClearAccessIP,"San Francisco, CA, USA",2013,Marketplace,The First Integrated Patent Marketplace,http://clearaccessip.com/,n/a,https://angel.co/clearaccessip,n/a,Legal Service Using Tech,Companies,"marketplace, intellectual property"
ClearContract,"Seattle, WA, USA",2014,Document Automation,"Managing contract negotiations is no easy task. Manual tracking and version control, lack of standardization, use of multiple disparate tools‰Û_all of this results in a process that is labor intensive, costly, and leaves the door wide open for mistakes. We‰Ûªve built a product to minimize risk, reduce the time people spend on tedious work, and maximize the speed at which contracts are executed.",http://www.clearcontract.com/,,,,,,
ClearNDA,"Chicago, IL, USA",2012,Document Automation - Web,Securely bringing contract negotiations to the cloud,http://www.clearnda.com/,https://twitter.com/@clearnda,https://angel.co/clearnda,http://www.crunchbase.com/organization/clearnda,Legal Tech,Companies,"documents, cloud, contracts, web, negotiation"
Clearpath Immigration,"New York, NY, USA",2011,Document Automation,Immigration forms made easy.,http://www.clearpathimmigration.com,https://twitter.com/ClearpathForms,https://angel.co/clearpath-immigration,http://www.crunchbase.com/organization/clearpath-immigration,Legal Service Using Tech,Individuals,"documents, forms, immigration"
ClearView Social,"Buffalo, NY, USA",2014,No Category Assigned,ClearView Social provides the CMO or Marketing Director at a firm a simple way to queue up content to be shared by the professionals each day.,http://clearviewsocial.com/,,,,,,
Clerky,"Menlo Park, CA, USA",2013,Document Automation,Helping startups get legal stuff done right (and fast).,http://clerky.com,https://twitter.com/clerkyinc,https://angel.co/clerky-1,http://www.crunchbase.com/organization/clerky,Legal Service Using Tech,Companies,"documents, forms, incorporation, start-ups"
Clio,"Vancouver, BC, Canada",2008,Practice Management,A suite of online tools to help manage your law firm.,http://www.goclio.com/,https://twitter.com/goclio,https://angel.co/clio,http://www.crunchbase.com/organization/clio,Legal Tech,Service Providers,practice management
CliXLEX,"New York, NY, USA",2013,Document Automation,"The first platform of its kind, leveraging M2M, AI, Cloud & EDI to create a meeting point & exchange for the legal, regulatory community - enabling & facilitating efficient, cost-effective transactions such as eFiling",clixlex.com,,,https://www.crunchbase.com/organization/clixlex#/entity,,,
ClosingFolders,"Toronto, ON, Canada",2015,Document Automation,Organizing and executing corporate deals,http://www.closingfolders.com/,https://twitter.com/ClosingFolders,,,Legal Tech,Companies,"LegalX, MaRS, Closing Checklists, Transactions"
Codify Legal Publishing,"Toronto, ON, Canada",2015,Practice Management,Legal automation and publishing,http://www.codifylegalpublishing.com/,,,,Legal Tech,Companies,"LIZ, Legal Publishing, Document Automation,"
ComputerLaw Group,"Palo Alto, CA, USA",2013,No Category Assigned,,http://www.computerlaw.com/,,,,,,
Congo,"Boulder, CO, USA",2014,Marketplace,An online directory and communication platform for clients and attorneys.,congo.io,,,,,,
contnu,"New York, NY, USA",2011,Legal Education,Contnu is Amazon for continuing professional education.,contnu.com,,,,,,
Contract Cloud,"Los Angeles, CA, USA",2013,Document Automation - Mobile,Contract Cloud saves businesses and individuals millions of dollars a year in regulation and litigation costs.,http://www.contractcloudinc.com/,,,http://www.crunchbase.com/organization/caserails,,,
Contract Live,"San Francisco, CA, USA",2014,No Category Assigned,"Contract Live brings contract management out of the Stone Age by helping companies manage all contracts (from HR and procurement to sales) throughout all lifecycle stages (online negotiations, electronic signatures, implementation and execution) on an entirely intuitive, cloud-based platform.",contract-live.com,,,,,,
