name,location,founded_date,category,description,main_url,twitter_url,angellist_url,crunchbase_url,employee_count
DiligenceEngine,New York City,,Niche - Mergers & Acquisitions,Technology enhanced contract review: faster and more accurate,https://diligenceengine.com/ ,https://twitter.com/DiligenceEngine ,n/a,n/a,
eShares,Palo Alto,2012,Niche - Stock Certificates,Electronic Stock Certificates,https://www.esharesinc.com/ ,https://twitter.com/esharesinc ,https://angel.co/eshares ,http://www.crunchbase.com/organization/eshares ,
JusticeBox,New York City,2011,Online Dispute Resolution,Justice Box offers a platform that offers online dispute resolution services.,http://www.justicebox.net/ ,n/a,https://angel.co/justicebox-net ,http://www.crunchbase.com/organization/justicebox ,
Modria,San Jose,2011,Online Dispute Resolution,The Fairness Engine for the Internet,www.modria.com,https://twitter.com/Modria ,https://angel.co/modria ,http://www.crunchbase.com/organization/modria ,
CosmoLex,North Brunswick,2006,Practice Management,Cloud-Based Practice Management Software,http://www.cosmolex.com/ ,https://twitter.com/CosmoLexLLC ,n/a,n/a,
RocketMatter,Boca Raton,2007,Practice Management,Legal productivity software.,https://www.rocketmatter.com/ ,https://twitter.com/rocketmatter ,https://angel.co/rocket-matter-llc ,http://www.crunchbase.com/organization/rocket-matter ,
Clio,Vancouver,2008,Practice Management,A suite of online tools to help manage your law firm.,http://www.goclio.com/ ,https://twitter.com/goclio ,https://angel.co/clio ,http://www.crunchbase.com/organization/clio ,
HoudiniEsq,Raleigh,2009,Practice Management,Cloud based Legal Practice Management SaaS,http://houdiniesq.com/ ,https://twitter.com/HoudiniESQ ,https://angel.co/houdiniesq-logicbit-software ,n/a,
MyCase,San Diego,2009,Practice Management,Practice management and client communication for the modern law firm. ,http://www.mycase.com/ , https://twitter.com/@MyCaseInc ,https://angel.co/mycase ,n/a,
Smokeball,Chicago,2011,Practice Management,Software for small law firms.,http://www.smokeball.com/ ,https://twitter.com/SmokeballNews ,n/a ,n/a,
Esq. Safe,New York City,2013,Practice Management,A secure cloud-based legal practice management suite for attorneys & paralegals.,http://esqsafe.launchrock.com/ ,n/a,https://angel.co/esq-safe-1 ,n/a,
LawPal,San Francisco,2013,Practice Management,Simple legal project management,https://lawpal.com/ ,https://twitter.com/lawpalhq ,https://angel.co/lawpal ,http://www.crunchbase.com/organization/lawpal ,
plainlegal,New York City,2013,Practice Management,We make small law practices more productive and profitable.,http://www.plainlegal.com ,https://twitter.com/plainlegal ,https://angel.co/plainlegal ,http://www.crunchbase.com/organization/plainlegal ,
Lawcus,San Diego,2014,Practice Management,Practice law without email.,http://lawcus.com/ ,https://twitter.com/LawcusHQ ,n/a,n/a,
